"MS1.MS2" "AT" "BE" "BG" "CH" "CY" "CZ" "DE" "DK" "EE" "EL" "ES" "FI" "FR" "HR" "HU" "IE" "IS" "IT" "LI" "LT" "LU" "LV" "ME" "MK" "MT" "NL" "NO" "PL" "PT" "RO" "SE" "SI" "SK" "TR" "UK"
"BG-ES" 0 0 203137.247891751 0 0 0 0 0 0 0 443685.685896879 0 75768.1878041181 9459.63442660272 0 0 0 233196.88724207 0 0 0 0 186164.759597242 0 0 0 0 0 0 0 0 0 0 0 0
"BG-FI" 0 0 127404.252430467 0 0 0 0 0 166281.176927639 0 0 305558.201203975 0 0 0 0 0 0 0 256493.171620598 0 173627.86197329 0 0 0 0 0 0 0 453478.654610413 0 0 0 0 0
"BG-FR" 0 0 170681.696671604 179058.302211676 0 0 0 0 0 0 0 0 39422.1101939121 271982.819760214 0 0 0 262821.659146838 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BG-HR" 0 0 191368.117712761 0 0 0 0 0 0 0 0 0 0 5090.45297004742 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BG-HU" 0 0 183355.926465966 0 0 0 0 0 0 0 0 0 0 0 162654.733317566 0 0 0 0 0 0 0 0 0 0 0 0 0 0 342362.351075709 0 0 0 0 0
"BG-IE" 285245.912792516 269955.3227693 254186.211580427 0 0 0 533375.918899396 0 0 0 0 0 0 38255.8159225862 189193.971825358 138959.605059983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33694.8653189102 0 0 350812.758283799
"BG-IS" 0 0 157818.794897589 0 0 145581.506315354 317078.368890846 9503.20007282198 0 0 0 0 0 0 231306.443455377 0 188680.835856777 0 0 0 0 0 0 0 0 0 0 243207.55766787 0 360203.554013299 0 0 154052.831436472 0 1344.05280300878
"BG-IT" 0 0 202068.741879619 0 0 0 0 0 0 0 0 0 0 25801.5657303345 0 0 0 132081.902449413 0 0 0 0 6833.47750631373 0 0 0 0 0 0 0 0 0 0 0 0
"BG-LI" 103643.930126697 0 220563.025363932 11096.5648574362 0 0 0 0 0 0 0 0 0 192241.526828825 0 0 0 189204.969394087 5666.68202294688 0 0 0 0 0 0 0 0 0 0 0 0 159238.943131544 0 0 0
"BG-LT" 0 0 126231.967463535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 156964.703541738 0 0 0 0 0 0 0 0 0 474553.866615236 0 0 0 0 0
"BG-LU" 229339.39334573 0 251797.859287557 0 0 0 536806.090415385 0 0 0 0 0 0 203374.261086883 82537.3541888114 0 0 0 0 0 28009.6152563701 0 0 0 0 0 0 0 0 0 0 44049.9181787284 0 0 0
"BG-LV" 0 0 127451.257333067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 250898.156671998 0 51239.8247284527 0 0 0 0 0 0 0 452426.917592192 0 0 0 0 0
"BG-ME" 0 0 202816.891717647 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15389.7649049586 0 0 0 0 0 0 0 0 0 0 0 0
"BG-MK" 0 0 183960.090344329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 106249.546844153 0 0 0 0 0 0 0 0 0 0 0
"BG-MT" 0 0 202744.300438962 0 0 0 0 0 0 177219.272817455 0 0 0 0 0 0 0 0 0 0 0 0 0 67810.7304463556 5713.79043911584 0 0 0 0 0 0 0 0 0 0
"BG-NL" 210483.129773783 0 203202.416200684 0 0 54619.8600243615 638323.322612552 0 0 0 0 0 0 0 257718.411487951 0 0 0 0 0 0 0 0 0 0 1777.62631810337 0 0 0 22441.7486401954 0 0 0 0 0
"BG-NO" 0 0 134512.906421182 0 0 0 0 0 0 0 0 0 0 0 123426.975989086 0 0 0 0 0 0 0 0 0 0 0 229601.69716635 648223.296893164 0 462702.829527887 454123.807689184 0 93430.0081102054 0 0
"BG-PL" 0 0 134658.646871217 0 0 0 0 0 0 0 0 0 0 0 110632.950071696 0 0 0 0 0 0 0 0 0 0 0 0 281218.460762267 0 465764.194309902 0 0 101086.089171596 0 0
"BG-PT" 0 0 203164.028199744 0 0 0 0 0 0 0 861616.957989996 0 13969.6083738623 18868.4086840913 0 0 0 254976.240913859 0 0 0 0 151457.5124437 0 0 0 0 0 100189.346011158 0 0 0 0 0 0
"BG-RO" 0 0 128566.633602233 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270608.055458201 0 0 0 0 0
"BG-SE" 0 0 135845.55697764 0 0 0 0 0 0 0 0 0 0 0 68940.2094518858 0 0 0 0 0 0 0 0 0 0 0 0 586778.126478523 0 471703.146105226 12224.6696369541 0 96329.7902034948 0 0
"BG-SI" 0 0 226585.587280803 0 0 0 0 0 0 0 0 0 0 274951.277970514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72298.9858860811 0 0 0
"BG-SK" 0 0 148679.455579711 0 0 0 0 0 0 0 0 0 0 0 196262.592712946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 386429.397520851 0 0 74453.8057874714 0 0
"BG-TR" 0 0 178058.233327489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94298.0938748852 0
"BG-UK" 277630.482667679 115597.967937042 256836.866030102 0 0 0 595656.389278912 0 0 0 0 0 0 4717.3628055253 219777.272571124 0 0 0 0 0 0 0 0 0 0 23071.5608836775 0 0 0 0 0 0 0 0 249014.37934498
"CH-AT" 247566.265776956 0 0 95361.4980007262 0 0 14889.1588682811 0 0 0 0 0 0 0 0 0 0 0 9507.4290342726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-BE" 0 169600.260612259 0 83937.8017303677 0 0 24754.6987947228 0 0 0 0 0 241570.198030664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-BG" 0 0 188996.088447874 142133.648001938 0 0 0 0 0 0 0 0 0 6577.9405857961 0 0 0 281210.975835093 0 0 0 0 0 0 0 0 0 0 0 0 0 78356.6094218269 0 0 0
"CH-CH" 0 0 0 114328.122518289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-CY" 0 0 0 152680.398636683 34620.7648254318 0 0 0 0 98981.1272530706 0 0 0 42360.4968719657 0 0 0 202499.871894888 0 0 0 0 130636.068725892 179372.193182156 0 0 0 0 0 0 0 0 0 758849.271457827 0
"CH-CZ" 20508.304159267 0 0 117826.042090717 0 177839.892623161 310552.307849325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-DE" 0 0 0 81398.6433419122 0 0 7809.20966329321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-DK" 0 0 0 75409.5729720104 0 0 814213.524646679 4375.87610202594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-EE" 0 0 0 106032.149734974 0 2736.06061875318 644727.203804357 0 106649.02820051 0 0 0 0 0 0 0 0 0 0 0 0 176420.105410645 0 0 0 0 0 373619.47937792 0 0 0 0 0 0 0
"CH-EL" 0 0 0 89564.5944097877 0 0 0 0 0 237765.59438797 0 0 0 8604.52082623314 0 0 0 17654.6701999017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-ES" 0 0 0 139130.945418768 0 0 0 0 0 0 14481.9182171485 0 603581.077579877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-FI" 0 0 0 99130.6134076493 0 0 780348.257363315 19172.1966611407 0 0 0 6610.19591010097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61427.399842332 0 0 0 0
"CH-FR" 0 0 0 140455.219367139 0 0 0 0 0 0 0 0 271934.019110176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-HR" 0 0 0 143342.424425975 0 0 0 0 0 0 0 0 0 86904.1321126186 0 0 0 280975.659976569 0 0 0 0 0 0 0 0 0 0 0 0 0 137256.164044247 0 0 0
"CH-HU" 497331.645631718 0 0 122343.920727358 0 0 0 0 0 0 0 0 0 0 204634.404225884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-IE" 0 0 0 101069.622425286 0 0 0 0 0 0 0 0 685503.929526381 0 0 143491.10359033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 428290.458788986
"CH-IS" 0 219267.220052253 0 83180.1652572231 0 0 32595.1794673816 0 0 0 0 0 212112.499446378 0 0 0 153628.278551143 0 0 0 31071.8609064992 0 0 0 0 8840.06341543857 0 0 0 0 0 0 0 0 117913.626788202
"CH-IT" 0 0 0 104874.037780742 0 0 0 0 0 0 0 0 0 0 0 0 0 379388.572275594 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-LI" 0 0 0 96553.9992335412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3741.75540053763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-LT" 0 0 0 114066.259422996 0 201602.30318019 366220.068486654 0 0 0 0 0 0 0 0 0 0 0 0 83563.3144044365 0 0 0 0 0 0 0 558423.736937867 0 0 0 0 0 0 0
"CH-LU" 0 0 0 82986.6578159197 0 0 40084.822286591 0 0 0 0 0 197279.074895421 0 0 0 0 0 0 0 38872.3707398134 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CH-LV" 0 0 0 110653.609535126 0 59390.2033117606 531218.642688764 0 0 0 0 0 0 0 0 0 0 0 0 191076.891951753 0 89167.4266299184 0 0 0 0 0 430698.036663331 0 0 0 0 0 0 0
"CH-ME" 0 0 0 140041.972079534 0 0 0 0 0 0 0 0 0 463440.264646084 0 0 0 317912.465874623 0 0 0 0 56284.3004578499 0 0 0 0 0 0 0 0 0 0 0 0
